Tenant,Branch,Content Group Category,Content Group,Translation Provider Name,Translation Provider Type,Culture Group,Cultures,QE/AIPE Enabled,HPE Enabled,Vendor,TranslationFlavor
BIC_base43_2,digital-contact-center-platform-pr.live,SelfServe_Reference_Authored,"Default OPS Authored Reference Group, Default OPS Authored Reference Group",BIC_base43_MT,CtsDownstreamConnectorSagaTemplate,BIC_base_23,"zh-CN,cs-CZ,fi-FI,pt-BR,ja-JP,es-ES,ar-SA,sv-SE,el-GR,fr-FR,it-IT,tr-TR,ru-RU,th-TH,nb-NO,pt-PT,de-DE,da-DK,pl-PL,nl-NL,zh-TW,ko-KR,he-IL",FALSE,,,
BIC_base43_2,digital-contact-center-platform-pr.live,SelfServe_Reference_Managed,"Default OPS Managed Reference Group, Default OPS Managed Reference Group",BIC_base43_MT,CtsDownstreamConnectorSagaTemplate,BIC_base_MT_20,"sr-Cyrl-RS,uk-UA,sl-SI,ca-ES,et-EE,eu-ES,lt-LT,ro-RO,id-ID,hr-HR,vi-VN,gl-ES,lv-LV,kk-KZ,hi-IN,hu-HU,ms-MY,bg-BG,sr-Latn-RS,sk-SK",FALSE,,,
BIC_base43_2,digital-contact-center-platform-pr.live,SelfServe_Reference_Managed,"Default OPS Managed Reference Group, Default OPS Managed Reference Group",BIC_base43_MT,CtsDownstreamConnectorSagaTemplate,BIC_base_23,"zh-CN,cs-CZ,fi-FI,pt-BR,ja-JP,es-ES,ar-SA,sv-SE,el-GR,fr-FR,it-IT,tr-TR,ru-RU,th-TH,nb-NO,pt-PT,de-DE,da-DK,pl-PL,nl-NL,zh-TW,ko-KR,he-IL",FALSE,,,
BIC_base43_2,digital-contact-center-platform-pr.live,SelfServe_Conceptual,"Default OPS Conceptual Group, Default OPS Conceptual Group",BIC_base43_CTS+GL,CtsGlDownstreamConnectorSagaTemplate,BIC_base_MT_20,"sr-Cyrl-RS,uk-UA,sl-SI,ca-ES,et-EE,eu-ES,lt-LT,ro-RO,id-ID,hr-HR,vi-VN,gl-ES,lv-LV,kk-KZ,hi-IN,hu-HU,ms-MY,bg-BG,sr-Latn-RS,sk-SK",FALSE,FALSE,LIOX,
BIC_base43_2,digital-contact-center-platform-pr.live,SelfServe_Conceptual,"Default OPS Conceptual Group, Default OPS Conceptual Group",BIC_base43_CTS+GL,CtsGlDownstreamConnectorSagaTemplate,BIC_base_23,"zh-CN,cs-CZ,fi-FI,pt-BR,ja-JP,es-ES,ar-SA,sv-SE,el-GR,fr-FR,it-IT,tr-TR,ru-RU,th-TH,nb-NO,pt-PT,de-DE,da-DK,pl-PL,nl-NL,zh-TW,ko-KR,he-IL",TRUE,TRUE,LIOX,
Default_Azure,docs.microsoft.com-nuget.live,SelfServe_Reference_Authored,Default Authored Reference Group,Default_Azure_CTS_MT,CtsDownstreamConnectorSagaTemplate,Default_Azure_18,"it-IT,fr-FR,tr-TR,pt-PT,ru-RU,id-ID,zh-TW,ko-KR,de-DE,pl-PL,nl-NL,es-ES,ja-JP,pt-BR,sv-SE,hu-HU,zh-CN,cs-CZ",FALSE,,,
Default_Azure,docs.microsoft.com-nuget.live,SelfServe_Reference_Managed,Default Managed Reference Group,Default_Azure_CTS_MT,CtsDownstreamConnectorSagaTemplate,Default_Azure_18,"it-IT,fr-FR,tr-TR,pt-PT,ru-RU,id-ID,zh-TW,ko-KR,de-DE,pl-PL,nl-NL,es-ES,ja-JP,pt-BR,sv-SE,hu-HU,zh-CN,cs-CZ",FALSE,,,
Default_Azure,docs.microsoft.com-nuget.live,SelfServe_Conceptual,Default OPS Conceptual Group,Default_Azure_CTS-GL,CtsGlDownstreamConnectorSagaTemplate,Default_Azure_6,"fr-FR,de-DE,ja-JP,pt-BR,es-ES,zh-CN",TRUE,FALSE,LIOX,
Default_Azure,docs.microsoft.com-nuget.live,SelfServe_Conceptual,Default OPS Conceptual Group,Default_Azure_CTS-GL,CtsGlDownstreamConnectorSagaTemplate,Default_Azure_12,"ru-RU,pt-PT,tr-TR,it-IT,zh-TW,ko-KR,id-ID,nl-NL,pl-PL,sv-SE,hu-HU,cs-CZ",TRUE,FALSE,LIOX,
Default_Azure,docs-aspire.live,SelfServe_Reference_Authored,Default Authored Reference Group,Default_Azure_CTS_MT,CtsDownstreamConnectorSagaTemplate,Default_Azure_18,"it-IT,fr-FR,tr-TR,pt-PT,ru-RU,id-ID,zh-TW,ko-KR,de-DE,pl-PL,nl-NL,es-ES,ja-JP,pt-BR,sv-SE,hu-HU,zh-CN,cs-CZ",FALSE,,,
Default_Azure,docs-aspire.live,SelfServe_Reference_Managed,Default Managed Reference Group,Default_Azure_CTS_MT,CtsDownstreamConnectorSagaTemplate,Default_Azure_18,"it-IT,fr-FR,tr-TR,pt-PT,ru-RU,id-ID,zh-TW,ko-KR,de-DE,pl-PL,nl-NL,es-ES,ja-JP,pt-BR,sv-SE,hu-HU,zh-CN,cs-CZ",FALSE,,,
Default_Azure,docs-aspire.live,SelfServe_Conceptual,Default OPS Conceptual Group,Default_Azure_CTS-GL,CtsGlDownstreamConnectorSagaTemplate,Default_Azure_6,"fr-FR,de-DE,ja-JP,pt-BR,es-ES,zh-CN",TRUE,FALSE,LIOX,
Default_Azure,docs-aspire.live,SelfServe_Conceptual,Default OPS Conceptual Group,Default_Azure_CTS-GL,CtsGlDownstreamConnectorSagaTemplate,Default_Azure_12,"ru-RU,pt-PT,tr-TR,it-IT,zh-TW,ko-KR,id-ID,nl-NL,pl-PL,sv-SE,hu-HU,cs-CZ",TRUE,FALSE,LIOX,
Default_Azure_2,docs-desktop.live,SelfServe_Reference_Authored,Default Authored Reference Group,Default_Azure_MT_CTS,CtsDownstreamConnectorSagaTemplate,Default_Azure_MT_18,"cs-CZ,zh-CN,sv-SE,hu-HU,es-ES,pt-BR,ja-JP,tr-TR,fr-FR,it-IT,pt-PT,ru-RU,nl-NL,pl-PL,de-DE,id-ID,zh-TW,ko-KR",FALSE,,,
Default_Azure_2,docs-desktop.live,SelfServe_Reference_Managed,Default Managed Reference Group,Default_Azure_MT_CTS,CtsDownstreamConnectorSagaTemplate,Default_Azure_MT_18,"cs-CZ,zh-CN,sv-SE,hu-HU,es-ES,pt-BR,ja-JP,tr-TR,fr-FR,it-IT,pt-PT,ru-RU,nl-NL,pl-PL,de-DE,id-ID,zh-TW,ko-KR",FALSE,,,
Default_Azure_2,docs-desktop.live,SelfServe_Conceptual,Default OPS Conceptual Group,Default_Azure_2_CTS-GL,CtsGlDownstreamConnectorSagaTemplate,Default_Azure_6,"fr-FR,de-DE,ja-JP,pt-BR,es-ES,zh-CN",TRUE,FALSE,LIOX,
Default_Azure_2,docs-desktop.live,SelfServe_Conceptual,Default OPS Conceptual Group,Default_Azure_2_CTS-GL,CtsGlDownstreamConnectorSagaTemplate,Default_Azure_12,"ru-RU,pt-PT,tr-TR,it-IT,zh-TW,ko-KR,id-ID,nl-NL,pl-PL,sv-SE,hu-HU,cs-CZ",TRUE,FALSE,RWS,
Default_Legal_1,docslegal-pr.live,SelfServe_Legal,,Default_Legal_1_58_GL,GlDownstreamConnectorSagaTemplate,,"ar-SA,bg-BG,ca-ES,cs-CZ,da-DK,de-AT,de-CH,de-DE,el-GR,es-ES,es-MX,et-EE,eu-ES,fi-FI,fil-PH,fr-BE,fr-CA,fr-CH,fr-FR,ga-IE,gl-ES,he-IL,hi-IN,hr-HR,hu-HU,id-ID,is-IS,it-CH,it-IT,ja-JP,ka-GE,kk-KZ,ko-KR,lt-LT,lv-LV,ms-MY,mt-MT,nb-NO,nl-NL,pl-PL,pt-BR,pt-PT,ro-RO,ru-RU,sk-SK,sl-SI,sr-Cyrl-RS,sr-Latn-RS,sv-SE,th-TH,tr-TR,uk-UA,vi-VN,zh-CN,zh-TW",,,RWS,MTPE
Default_Legal_1,docslegal-pr.live,SelfServe_Legal,,Default_Legal_1_58_GL,GlDownstreamConnectorSagaTemplate,,"bs-Latn-BA,lb-LU,zh-HK",,,RWS,HT
Default_Azure,docs-maui.live,SelfServe_Reference_Authored,Default Authored Reference Group,Default_Azure_CTS_MT,CtsDownstreamConnectorSagaTemplate,Default_Azure_18,"it-IT,fr-FR,tr-TR,pt-PT,ru-RU,id-ID,zh-TW,ko-KR,de-DE,pl-PL,nl-NL,es-ES,ja-JP,pt-BR,sv-SE,hu-HU,zh-CN,cs-CZ",FALSE,,,
Default_Azure,docs-maui.live,SelfServe_Reference_Managed,Default Managed Reference Group,Default_Azure_CTS_MT,CtsDownstreamConnectorSagaTemplate,Default_Azure_18,"it-IT,fr-FR,tr-TR,pt-PT,ru-RU,id-ID,zh-TW,ko-KR,de-DE,pl-PL,nl-NL,es-ES,ja-JP,pt-BR,sv-SE,hu-HU,zh-CN,cs-CZ",FALSE,,,
Default_Azure,docs-maui.live,SelfServe_Conceptual,Default OPS Conceptual Group,Default_Azure_CTS-GL,CtsGlDownstreamConnectorSagaTemplate,Default_Azure_6,"fr-FR,de-DE,ja-JP,pt-BR,es-ES,zh-CN",TRUE,FALSE,LIOX,
Default_Azure,docs-maui.live,SelfServe_Conceptual,Default OPS Conceptual Group,Default_Azure_CTS-GL,CtsGlDownstreamConnectorSagaTemplate,Default_Azure_12,"ru-RU,pt-PT,tr-TR,it-IT,zh-TW,ko-KR,id-ID,nl-NL,pl-PL,sv-SE,hu-HU,cs-CZ",TRUE,FALSE,LIOX,
Default_Azure,docs-mobile.live,SelfServe_Reference_Authored,Default Authored Reference Group,Default_Azure_CTS_MT,CtsDownstreamConnectorSagaTemplate,Default_Azure_18,"it-IT,fr-FR,tr-TR,pt-PT,ru-RU,id-ID,zh-TW,ko-KR,de-DE,pl-PL,nl-NL,es-ES,ja-JP,pt-BR,sv-SE,hu-HU,zh-CN,cs-CZ",FALSE,,,
Default_Azure,docs-mobile.live,SelfServe_Reference_Managed,Default Managed Reference Group,Default_Azure_CTS_MT,CtsDownstreamConnectorSagaTemplate,Default_Azure_18,"it-IT,fr-FR,tr-TR,pt-PT,ru-RU,id-ID,zh-TW,ko-KR,de-DE,pl-PL,nl-NL,es-ES,ja-JP,pt-BR,sv-SE,hu-HU,zh-CN,cs-CZ",FALSE,,,
