Tenant,Branch,Content Group Category,Content Group,Translation Provider Name,Translation Provider Type,Culture Group,Cultures,QE/AIPE Enabled,HPE Enabled,Vendor,TranslationFlavor
Default_Azure,RECON.main,SelfServe_Reference_Authored,Default Authored Reference Group,Default_Azure_CTS_MT,CtsDownstreamConnectorSagaTemplate,Default_Azure_18,"cs-CZ,de-DE,es-ES,fr-FR,hu-HU,id-ID,it-IT,ja-JP,ko-KR,nl-NL,pl-PL,pt-BR,pt-PT,ru-RU,sv-SE,tr-TR,zh-CN,zh-TW",FALSE,,,MT
Default_Azure,RECON.main,SelfServe_Reference_Managed,Default Managed Reference Group,Default_Azure_CTS_MT,CtsDownstreamConnectorSagaTemplate,Default_Azure_18,"cs-CZ,de-DE,es-ES,fr-FR,hu-HU,id-ID,it-IT,ja-JP,ko-KR,nl-NL,pl-PL,pt-BR,pt-PT,ru-RU,sv-SE,tr-TR,zh-CN,zh-TW",FALSE,,,MT
Default_Azure,RECON.main,SelfServe_Conceptual,Default OPS Conceptual Group,Default_Azure_CTS-GL,CtsGlDownstreamConnectorSagaTemplate,Default_Azure_6,"de-DE,es-ES,fr-FR,ja-JP,pt-BR,zh-CN",TRUE,FALSE,LIOX,AIPE
Default_Azure,RECON.main,SelfServe_Conceptual,Default OPS Conceptual Group,Default_Azure_CTS-GL,CtsGlDownstreamConnectorSagaTemplate,Default_Azure_12,"cs-CZ,hu-HU,id-ID,it-IT,ko-KR,nl-NL,pl-PL,pt-PT,ru-RU,sv-SE,tr-TR,zh-TW",TRUE,FALSE,LIOX,AIPE
Default_Learn_1,renewal-evaluation-pr.live,SelfServe_CaD,,Default_Learn_CaD_28,CtsGlDownstreamConnectorSagaTemplate,Default_Learn_APIE_24,"ar-SA,cs-CZ,da-DK,de-DE,es-ES,fi-FI,fr-FR,he-IL,hu-HU,id-ID,it-IT,ja-JP,ko-KR,nb-NO,nl-NL,pl-PL,pt-BR,pt-PT,ru-RU,sv-SE,th-TH,tr-TR,zh-CN,zh-TW",TRUE,FALSE,LIOX,AIPE
Default_Learn_1,renewal-evaluation-pr.live,SelfServe_CaD,,Default_Learn_CaD_28,CtsGlDownstreamConnectorSagaTemplate,Default_Learn_MT_4,"hi-IN,ro-RO,uk-UA,vi-VN",FALSE,FALSE,LIOX,MT
Default_Learn_1,renewal-evaluation-pr.live,SelfServe_Conceptual,,Default_Learn_1_CTS+GL,CtsGlDownstreamConnectorSagaTemplate,Default_Azure_12,"cs-CZ,hu-HU,id-ID,it-IT,ko-KR,nl-NL,pl-PL,pt-PT,ru-RU,sv-SE,tr-TR,zh-TW",TRUE,FALSE,LIOX,AIPE
Default_Learn_1,renewal-evaluation-pr.live,SelfServe_YML,Default NonOPS .yml,Default_Learn_1_CTS+GL,CtsGlDownstreamConnectorSagaTemplate,Default_Azure_12,"cs-CZ,hu-HU,id-ID,it-IT,ko-KR,nl-NL,pl-PL,pt-PT,ru-RU,sv-SE,tr-TR,zh-TW",TRUE,FALSE,LIOX,AIPE
Default_Learn_1,renewal-evaluation-pr.live,SelfServe_Conceptual,,Default_Learn_1_CTS+GL,CtsGlDownstreamConnectorSagaTemplate,Default_Azure_6,"de-DE,es-ES,fr-FR,ja-JP,pt-BR,zh-CN",TRUE,TRUE,RWS,HPE
Default_Learn_1,renewal-evaluation-pr.live,SelfServe_YML,Default NonOPS .yml,Default_Learn_1_CTS+GL,CtsGlDownstreamConnectorSagaTemplate,Default_Azure_6,"de-DE,es-ES,fr-FR,ja-JP,pt-BR,zh-CN",TRUE,TRUE,RWS,HPE
Default_Learn_1,renewal-evaluation-pr.live,SelfServe_Conceptual,,Default_Learn_1_CTS+GL,CtsGlDownstreamConnectorSagaTemplate,Default_Learn_MT_10,"ar-SA,da-DK,fi-FI,he-IL,hi-IN,nb-NO,ro-RO,th-TH,uk-UA,vi-VN",FALSE,FALSE,TransPerfect,MT
Default_Learn_1,renewal-evaluation-pr.live,SelfServe_YML,Default NonOPS .yml,Default_Learn_1_CTS+GL,CtsGlDownstreamConnectorSagaTemplate,Default_Learn_MT_10,"ar-SA,da-DK,fi-FI,he-IL,hi-IN,nb-NO,ro-RO,th-TH,uk-UA,vi-VN",FALSE,FALSE,TransPerfect,MT
Default_Learn_1,renewal-evaluation-pr.live,SelfServe_Legal,,Default_Learn_GL_12,GlDownstreamConnectorSagaTemplate,Default_Learn_GL_12_12,"ar-SA,de-DE,es-ES,fr-FR,id-ID,it-IT,ja-JP,ko-KR,pt-BR,ru-RU,zh-CN,zh-TW",,,RWS,MTPE
Default_SQL_ext_MT,roslyn-api-docs.live,SelfServe_Reference_Authored,Default Authored Reference Group, Default_SQL_ext_CTS_MT,CtsDownstreamConnectorSagaTemplate, Default_SQL_ext_MT_11,"de-DE,es-ES,fr-FR,id-ID,it-IT,ja-JP,ko-KR,pt-BR,ru-RU,zh-CN,zh-TW",FALSE,,,MT
Default_SQL_ext_MT,roslyn-api-docs.live,SelfServe_Reference_Managed,Default Managed Reference Group, Default_SQL_ext_CTS_MT,CtsDownstreamConnectorSagaTemplate, Default_SQL_ext_MT_11,"de-DE,es-ES,fr-FR,id-ID,it-IT,ja-JP,ko-KR,pt-BR,ru-RU,zh-CN,zh-TW",FALSE,,,MT
Default_SQL_ext_MT,roslyn-api-docs.live,SelfServe_Conceptual,Default OPS Conceptual Group, Default_SQL_ext_CTS_MT,CtsDownstreamConnectorSagaTemplate, Default_SQL_ext_MT_11,"de-DE,es-ES,fr-FR,id-ID,it-IT,ja-JP,ko-KR,pt-BR,ru-RU,zh-CN,zh-TW",FALSE,,,MT
Default_Azure_2,rtos-docs-pr.live,SelfServe_Reference_Authored,Default Authored Reference Group,Default_Azure_MT_CTS,CtsDownstreamConnectorSagaTemplate,Default_Azure_MT_18,"cs-CZ,de-DE,es-ES,fr-FR,hu-HU,id-ID,it-IT,ja-JP,ko-KR,nl-NL,pl-PL,pt-BR,pt-PT,ru-RU,sv-SE,tr-TR,zh-CN,zh-TW",FALSE,,,MT
Default_Azure_2,rtos-docs-pr.live,SelfServe_Reference_Managed,Default Managed Reference Group,Default_Azure_MT_CTS,CtsDownstreamConnectorSagaTemplate,Default_Azure_MT_18,"cs-CZ,de-DE,es-ES,fr-FR,hu-HU,id-ID,it-IT,ja-JP,ko-KR,nl-NL,pl-PL,pt-BR,pt-PT,ru-RU,sv-SE,tr-TR,zh-CN,zh-TW",FALSE,,,MT
Default_Azure_2,rtos-docs-pr.live,SelfServe_Conceptual,Default OPS Conceptual Group,Default_Azure_2_CTS-GL,CtsGlDownstreamConnectorSagaTemplate,Default_Azure_6,"de-DE,es-ES,fr-FR,ja-JP,pt-BR,zh-CN",TRUE,FALSE,LIOX,AIPE
Default_Azure_2,rtos-docs-pr.live,SelfServe_Conceptual,Default OPS Conceptual Group,Default_Azure_2_CTS-GL,CtsGlDownstreamConnectorSagaTemplate,Default_Azure_12,"cs-CZ,hu-HU,id-ID,it-IT,ko-KR,nl-NL,pl-PL,pt-PT,ru-RU,sv-SE,tr-TR,zh-TW",TRUE,FALSE,RWS,AIPE
Default_SQL_ext_MT,sdk-api-build.live,SelfServe_Reference_Authored,Default Authored Reference Group, Default_SQL_ext_CTS_MT,CtsDownstreamConnectorSagaTemplate, Default_SQL_ext_MT_11,"de-DE,es-ES,fr-FR,id-ID,it-IT,ja-JP,ko-KR,pt-BR,ru-RU,zh-CN,zh-TW",FALSE,,,MT
Default_SQL_ext_MT,sdk-api-build.live,SelfServe_Reference_Managed,Default Managed Reference Group, Default_SQL_ext_CTS_MT,CtsDownstreamConnectorSagaTemplate, Default_SQL_ext_MT_11,"de-DE,es-ES,fr-FR,id-ID,it-IT,ja-JP,ko-KR,pt-BR,ru-RU,zh-CN,zh-TW",FALSE,,,MT
